1. AKIM,Kuzey Geliş,,,Tur Süresi (sn),Yeşil Süresi (sn)
Dönüş Yönleri,1>1,1>2,1>3,105,53
,U,DÜZ,SAĞ,,
SABAH,TOPLAM,TOPLAM,TOPLAM,,
07:00-07:15,0,50,3,,
07:15-07:30,1,67,12,,
07:30-07:45,0,109,26,,
07:45-08:00,1,146,35,,
08:00-08:15,0,159,38,,
08:15-08:30,0,192,40,,
08:30-08:45,0,239,33,,
09:00-09:15,0,210,56,,
09:15-09:30,0,232,74,,
09:30-09:45,2,199,66,,
09:45-10:00,0,177,48,,
ÖĞLE,,,,,
12:00-12:15,1,179,56,,
12:15-12:30,0,179,59,,
12:30-12:45,1,180,63,,
12:45-13:00,0,193,68,,
13:00-13:15,0,180,65,,
13:30-13:45,1,178,71,,
13:45-14:00,2,196,41,,
AKŞAM,,,,,
16:00-16:15,0,203,61,,
16:15-16:30,0,253,64,,
16:30-16:45,0,224,52,,
16:45-17:00,1,278,39,,
17:00-17:15,1,248,51,,
17:15-17:30,0,243,42,,
17:30-17:45,0,273,50,,
18:30-18:45,0,287,24,,
18:45-19:00,0,295,21,,
19:00-19:15,0,284,16,,
19:15-19:30,0,203,13,,
19:30-19:45,1,134,10,,
19:45-20:00,0,126,9,,
